x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
201.500000000,0.940594946,0.929148259,0.889320231,1.409799021
202.000000000,0.995726224,0.981308234,0.928204198,1.418066588
202.500000000,1.049860239,1.033468210,0.967088165,1.426334156
203.000000000,1.102662701,1.085628186,1.005972131,1.434601723
203.500000000,1.153809462,1.137788161,1.044856098,1.442869290
204.000000000,1.202988536,1.189948137,1.083740065,1.451136857
204.500000000,1.249902049,1.242108113,1.122624031,1.459404425
205.000000000,1.294268088,1.294268088,1.161507998,1.467671992
205.500000000,1.335822458,1.319876046,1.200391965,1.475939559
206.000000000,1.374320316,1.345484004,1.239275931,1.484207126
206.500000000,1.409537694,1.371091961,1.278159898,1.492474694
207.000000000,1.441272877,1.396699919,1.317043865,1.500742261
207.500000000,1.469347652,1.422307876,1.355927831,1.509009828
208.000000000,1.493608400,1.447915834,1.394811798,1.517277395
208.500000000,1.513927037,1.473523792,1.433695765,1.525544963
209.000000000,1.530201793,1.499131749,1.472579731,1.533812530
209.500000000,1.542357827,1.524739707,1.511463698,1.542080097
210.000000000,1.550347664,1.550347664,1.550347664,1.550347664
210.500000000,1.554151478,1.536338355,1.522491863,1.548669409
211.000000000,1.553777178,1.522329045,1.494636061,1.546991154
211.500000000,1.549260339,1.508319736,1.466780259,1.545312898
212.000000000,1.540663948,1.494310426,1.438924458,1.543634643
212.500000000,1.528077981,1.480301117,1.411068656,1.541956387
213.000000000,1.511618813,1.466291807,1.383212854,1.540278132
213.500000000,1.491428456,1.452282498,1.355357053,1.538599876
214.000000000,1.467673642,1.438273188,1.327501251,1.536921621
214.500000000,1.440544748,1.424263879,1.299645449,1.535243365
215.000000000,1.410254569,1.410254569,1.271789648,1.533565110
215.500000000,1.377036958,1.368552275,1.243933846,1.531886854
216.000000000,1.341145324,1.326849982,1.216078045,1.530208599
216.500000000,1.302851015,1.285147688,1.188222243,1.528530343
217.000000000,1.262441582,1.243445394,1.160366441,1.526852088
217.500000000,1.220218946,1.201743100,1.132510640,1.525173832
218.000000000,1.176497464,1.160040806,1.104654838,1.523495577
218.500000000,1.131601933,1.118338513,1.076799036,1.521817321
219.000000000,1.085865509,1.076636219,1.048943235,1.520139066
219.500000000,1.039627587,1.034933925,1.021087433,1.518460810
220.000000000,0.993231631,0.993231631,0.993231631,1.516782555
220.500000000,0.947022983,0.953375459,0.968908468,1.515104299
221.000000000,0.901346656,0.913519288,0.944585305,1.513426044
